title,price,drivetrain,exterior_color,model,year,trim,fuel_consume(L/100km),region,province,battery_charge_time(hr),battery_range(km),body_type,mileage(km),front_legroom(mm),cargo_volume(L)
2023 Tesla Model Y RWD,40996,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2023.0,RWD,1.945,Concord,ON,9.4,418.0,SUV/ Crossover,24500,1064.0,971.0
2023 Tesla Model 3 Long Range AWD,40888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,Long Range AWD,1.9,Concord,ON,11.5,576.0,Sedan,30136,1085.0,648.0
2020 Tesla Model 3 Performance AWD,36880,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Performance AWD,1.945,Concord,ON,10.0,481.0,Sedan,60716,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,26888,Rear-Wheel Drive,Red,Model 3,2020.0,Standard Range Plus RWD,1.9,North York,ON,10.0,402.0,Sedan,72000,1085.0,424.0
2019 Tesla Model 3 Performance AWD,29995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2019.0,Performance AWD,1.9,Abbotsford,BC,10.0,499.0,Sedan,95648,1085.0,424.0
2021 Tesla Model Y Long Range AWD,37480,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,93469,1062.0,1925.0
2020 Tesla Model 3 Standard Range AWD,23990,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,94360,1085.0,424.0
2022 Tesla Model 3 Performance AWD,43880,All-Wheel Drive,Black,Model 3,2022.0,Performance AWD,2.09,Concord,ON,10.0,507.0,Sedan,46600,1085.0,424.0
2016 Tesla Model X P90D AWD,50450,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2016.0,P90D AWD,2.6,Richmond,BC,12.0,402.0,SUV/ Crossover,81000,1046.0,736.0
2014 Tesla Model S P85 RWD,23995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2014.0,P85 RWD,2.655,Oakville,ON,12.0,407.0,Sedan,115000,1085.0,894.0
2021 Tesla Model Y Standard Range RWD,42777,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Standard Range RWD,1.945,Surrey,BC,10.0,393.0,SUV/ Crossover,35001,1062.0,1925.0
2020 Tesla Model 3 Standard Range Plus RWD,28800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Kitchener,ON,10.0,402.0,Sedan,53936,1085.0,424.0
2021 Tesla Model 3 Long Range AWD,35980,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Long Range AWD,1.9,Concord,ON,10.0,568.0,Sedan,47200,1085.0,424.0
2018 Tesla Model 3 Long Range AWD,24498,All-Wheel Drive,Black,Model 3,2018.0,Long Range AWD,2.045,St-leonard,QC,10.0,499.0,Sedan,92107,1085.0,424.0
2020 Tesla Model 3 Standard Range AWD,24995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,78966,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,24988,Rear-Wheel Drive,Red,Model 3,2020.0,Standard Range Plus RWD,1.9,Oakville,ON,10.0,402.0,Sedan,100000,1085.0,424.0
2022 Tesla Model X Plaid AWD,120888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model X,2022.0,Plaid AWD,2.39,Vaughan,ON,12.0,504.0,SUV/ Crossover,9399,1045.0,736.0
2021 Tesla Model 3 Standard Range Plus RWD,29880,Rear-Wheel Drive,Black,Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,45330,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,28990,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Bedford,NS,10.0,430.0,Sedan,72102,1085.0,424.0
2021 Tesla Model Y Long Range AWD,40980,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,63588,1062.0,1925.0
2020 Tesla Model 3 Standard Range Plus RWD,23800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,402.0,Sedan,115000,1085.0,424.0
2023 Tesla Model 3 Long Range AWD,41888,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2023.0,Long Range AWD,1.9,Concord,ON,11.5,576.0,Sedan,20659,1085.0,648.0
2020 Tesla Model 3 Standard Range AWD,24995,All-Wheel Drive,Black,Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,79400,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,28800,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range Plus RWD,1.9,Richmond,BC,10.0,402.0,Sedan,78000,1085.0,424.0
2019 Tesla Model 3 Standard Plus RWD,17880,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard Plus RWD,1.9,Concord,ON,10.0,386.0,Sedan,190000,1085.0,424.0
2021 Tesla Model Y Long Range AWD,46450,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Long Range AWD,1.945,Chilliwack,BC,10.0,509.0,SUV/ Crossover,41372,1062.0,1925.0
2020 Tesla Model 3 Standard Range AWD,24995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,79889,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,27880,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,71700,1085.0,424.0
2022 Tesla Model 3 RWD,28800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Concord,ON,10.0,430.0,Sedan,92380,1085.0,648.0
2021 Tesla Model S Plaid AWD,88000,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2021.0,Plaid AWD,2.3,Vancouver,BC,15.0,628.0,Sedan,39650,1085.0,744.0
2019 Tesla Model 3 Standard Plus RWD,25888,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2019.0,Standard Plus RWD,1.9,North York,ON,10.0,386.0,Sedan,63000,1085.0,424.0
2019 Tesla Model 3 Long Range AWD,29980,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2019.0,Long Range AWD,2.045,Montréal,QC,10.0,499.0,Sedan,63856,1085.0,424.0
2022 Tesla Model Y Long Range AWD,52800,All-Wheel Drive,Black,Model Y,2022.0,Long Range AWD,1.945,Burnaby,BC,10.0,531.0,SUV/ Crossover,29381,1062.0,971.0
2020 Tesla Model 3 Standard Range Plus RWD,30800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Kitchener,ON,10.0,402.0,Sedan,32837,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,25900,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,97700,1085.0,424.0
2017 Tesla Model X,53990,unknown,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2017.0,unknown,2.555,Calgary,AB,12.0,475.0,SUV/ Crossover,53500,1046.0,736.0
2020 Tesla Model 3 Long Range AWD,34490,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,32453,1085.0,424.0
2023 Tesla Model 3 Long Range AWD,40999,All-Wheel Drive,Black,Model 3,2023.0,Long Range AWD,1.9,Calgary,AB,11.5,576.0,Sedan,71456,1085.0,648.0
2019 Tesla Model 3 Long Range AWD,27995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2019.0,Long Range AWD,1.9,Toronto,ON,10.0,499.0,Sedan,99025,1085.0,424.0
2022 Tesla Model 3 RWD,30900,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Concord,ON,10.0,430.0,Sedan,65400,1085.0,648.0
2021 Tesla Model Y Performance AWD,47998,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Performance AWD,2.09,Surrey,BC,10.0,507.0,SUV/ Crossover,77203,1062.0,1925.0
2016 Tesla Model X 75D AWD,43888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2016.0,75D AWD,2.555,Surrey,BC,12.0,383.0,SUV/ Crossover,114250,1046.0,736.0
2023 Tesla Model 3 Long Range AWD,41988,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,Long Range AWD,1.9,Oakville,ON,11.5,576.0,Sedan,40000,1085.0,424.0
2021 Tesla Model Y Long Range AWD,44998,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2021.0,Long Range AWD,1.945,Surrey,BC,10.0,509.0,SUV/ Crossover,62978,1062.0,1925.0
2018 Tesla Model 3 Long Range RWD,28500,Rear-Wheel Drive,Red,Model 3,2018.0,Long Range RWD,1.9,Burnaby,BC,12.0,499.0,Sedan,106300,1085.0,424.0
2021 Tesla Model S Plaid AWD,79999,All-Wheel Drive,Black,Model S,2021.0,Plaid AWD,2.345,Longueuil,QC,15.0,628.0,Sedan,57936,1085.0,744.0
2018 Tesla Model X 100D AWD,50995,All-Wheel Drive,Black,Model X,2018.0,100D AWD,2.555,North York,ON,12.0,475.0,SUV/ Crossover,107223,1046.0,736.0
2023 Tesla Model 3 RWD,38800,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2023.0,RWD,1.9,Richmond,BC,10.4,438.0,Sedan,30613,1085.0,648.0
2022 Tesla Model 3 Long Range AWD,39990,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Calgary,AB,10.0,538.0,Sedan,56821,1085.0,648.0
2021 Tesla Model 3 Standard Range Plus RWD,29492,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Waterloo,ON,10.0,430.0,Sedan,71207,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,27900,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Richmond,BC,10.0,402.0,Sedan,99000,1085.0,424.0
2022 Tesla Model Y Performance AWD,52995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2022.0,Performance AWD,2.09,Kitchener,ON,10.0,488.0,SUV/ Crossover,31924,1062.0,971.0
2023 Tesla Model Y Long Range AWD,54995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Long Range AWD,1.945,Abbotsford,BC,11.5,531.0,SUV/ Crossover,17250,1062.0,971.0
2021 Tesla Model Y Long Range AWD,45800,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,22965,1063.0,971.0
2020 Tesla Model 3 Standard Range AWD,19880,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,164688,1085.0,424.0
2023 Tesla Model Y RWD,42995,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2023.0,RWD,1.945,Concord,ON,9.4,418.0,SUV/ Crossover,7600,1064.0,971.0
2021 Tesla Model Y Long Range AWD,38900,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,85000,1062.0,1925.0
2019 Tesla Model 3 Mid Range RWD,27995,Rear-Wheel Drive,Silver,Model 3,2019.0,Mid Range RWD,1.945,Burnaby,BC,10.0,425.0,Sedan,109310,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,28990,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,97800,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,24995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,402.0,Sedan,90900,1085.0,424.0
2021 Tesla Model Y Long Range AWD,36980,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,108886,1062.0,1925.0
2019 Tesla Model 3 Standard RWD,23990,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,Standard RWD,1.9,Concord,ON,10.0,354.0,Sedan,88766,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,34800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Richmond,BC,10.0,430.0,Sedan,38600,1085.0,424.0
2020 Tesla Model X Performance AWD,76888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model X,2020.0,Performance AWD,2.6,Burlington,ON,12.0,491.0,SUV/ Crossover,65200,1046.0,543.0
2021 Tesla Model Y Long Range AWD,37480,All-Wheel Drive,Black,Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,98600,1063.0,971.0
2019 Tesla Model 3 Standard Plus RWD,29995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard Plus RWD,1.9,Abbotsford,BC,10.0,386.0,Sedan,69000,1085.0,424.0
2023 Tesla Model 3 RWD,34880,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,RWD,1.9,Concord,ON,10.4,438.0,Sedan,50688,1085.0,648.0
2023 Tesla Model 3 Long Range AWD,43979,All-Wheel Drive,Black,Model 3,2023.0,Long Range AWD,1.9,Gatineau,QC,11.5,576.0,Sedan,37800,1085.0,648.0
2020 Tesla Model Y Performance AWD,45998,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2020.0,Performance AWD,1.99,St-leonard,QC,10.0,507.0,SUV/ Crossover,24215,1062.0,1925.0
2022 Tesla Model 3 Long Range AWD,39888,All-Wheel Drive,Red,Model 3,2022.0,Long Range AWD,1.9,Concord,ON,10.0,538.0,Sedan,33495,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,27995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Lévis,QC,10.0,402.0,Sedan,70535,1085.0,424.0
2022 Tesla Model 3 Performance AWD,45489,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,Performance AWD,2.09,Drummondville,QC,10.0,507.0,Sedan,41229,1085.0,648.0
2018 Tesla Model 3 Standard RWD,26995,Rear-Wheel Drive,Black,Model 3,2018.0,Standard RWD,1.945,Waterloo,ON,12.0,354.0,Sedan,76920,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,27490,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Bedford,NS,10.0,402.0,Sedan,81680,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,26880,Rear-Wheel Drive,Black,Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,89000,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,25988,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Oakville,ON,10.0,402.0,Sedan,93000,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,28480,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,68857,1085.0,424.0
2019 Tesla Model 3 Standard Plus RWD,23995,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,Standard Plus RWD,1.9,Toronto,ON,10.0,386.0,Sedan,98000,1085.0,424.0
2021 Tesla Model Y Long Range AWD,39887,All-Wheel Drive,Black,Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,77966,1062.0,1925.0
2022 Tesla Model 3 Long Range AWD,42995,All-Wheel Drive,Red,Model 3,2022.0,Long Range AWD,1.9,St. Albert,AB,10.0,538.0,Sedan,50451,1085.0,648.0
2023 Tesla Model Y Long Range AWD,48995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Long Range AWD,1.945,Blainville,QC,11.5,531.0,SUV/ Crossover,41201,1062.0,971.0
2023 Tesla Model 3 RWD,35800,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,RWD,1.9,Concord,ON,10.4,438.0,Sedan,23586,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,21795,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Newmarket,ON,10.0,402.0,Sedan,137000,1085.0,424.0
2021 Tesla Model Y Long Range AWD,48995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2021.0,Long Range AWD,1.945,Penticton,BC,10.0,509.0,SUV/ Crossover,19061,1062.0,1925.0
2021 Tesla Model 3 Standard Range Plus RWD,34998,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Burnaby,BC,10.0,430.0,Sedan,31516,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,28900,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,430.0,Sedan,49699,1085.0,424.0
2016 Tesla Model X P90D AWD,49888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2016.0,P90D AWD,2.6,Vancouver,BC,12.0,402.0,SUV/ Crossover,85049,1045.0,736.0
2022 Tesla Model Y Performance AWD,52520,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Performance AWD,2.09,Barrie,ON,10.0,488.0,SUV/ Crossover,39253,1062.0,971.0
2020 Tesla Model 3 Long Range AWD,34490,All-Wheel Drive,Red,Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,35966,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,23800,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,160426,1085.0,424.0
2021 Tesla Model 3 Long Range AWD,33990,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Long Range AWD,1.9,Concord,ON,10.0,568.0,Sedan,72866,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,28480,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,69860,1085.0,424.0
2022 Tesla Model 3 RWD,33998,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Kelowna,BC,10.0,430.0,Sedan,69000,1085.0,648.0
2020 Tesla Model 3 Long Range AWD,33480,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,48000,1085.0,424.0
2017 Tesla Model S 100D AWD,46999,All-Wheel Drive,Red,Model S,2017.0,100D AWD,2.3,Richmond,BC,12.0,539.0,Sedan,64255,1085.0,804.0
2021 Tesla Model 3 Standard Range Plus RWD,28480,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,70000,1085.0,424.0
2023 Tesla Model Y Performance AWD,52785,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2023.0,Performance AWD,1.945,Brossard,QC,11.8,488.0,SUV/ Crossover,33350,1062.0,481.0
2021 Tesla Model 3 Performance AWD,45784,All-Wheel Drive,Black,Model 3,2021.0,Performance AWD,2.09,Winnipeg,MB,10.0,507.0,Sedan,40000,1085.0,424.0
2021 Tesla Model Y Long Range AWD,41880,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Toronto,ON,10.0,509.0,SUV/ Crossover,57000,1062.0,1925.0
2022 Tesla Model 3 Long Range AWD,39999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,Long Range AWD,1.9,Gatineau,QC,10.0,538.0,Sedan,55234,1085.0,648.0
2023 Tesla Model Y Performance AWD,54999,All-Wheel Drive,Black,Model Y,2023.0,Performance AWD,2.09,Saint-Constant,QC,11.8,488.0,SUV/ Crossover,13681,1062.0,481.0
2020 Tesla Model 3 Long Range AWD,33480,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,48300,1085.0,424.0
2016 Tesla Model X P90D AWD,45995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model X,2016.0,P90D AWD,2.6,Milton,ON,12.0,402.0,SUV/ Crossover,109206,1046.0,736.0
2017 Tesla Model S 75D AWD,34979,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2017.0,75D AWD,2.255,North York,ON,12.0,417.0,Sedan,91345,1085.0,894.0
2023 Tesla Model 3 RWD,35800,Rear-Wheel Drive,Red,Model 3,2023.0,RWD,1.9,Kitchener,ON,10.4,438.0,Sedan,42627,1085.0,648.0
2022 Tesla Model 3 RWD,32995,Rear-Wheel Drive,Black,Model 3,2022.0,RWD,1.9,Blainville,QC,10.0,430.0,Sedan,33242,1085.0,648.0
2022 Tesla Model Y Performance AWD,45795,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Performance AWD,2.09,Milton,ON,10.0,488.0,SUV/ Crossover,88351,1062.0,971.0
2021 Tesla Model Y Long Range AWD,36980,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,111800,1062.0,1925.0
2019 Tesla Model 3 Standard Plus RWD,27988,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,Standard Plus RWD,1.9,Oakville,ON,10.0,386.0,Sedan,41000,1085.0,424.0
2014 Tesla Model S P85 RWD,25998,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2014.0,P85 RWD,2.655,Surrey,BC,12.0,407.0,Sedan,144885,1085.0,894.0
2020 Tesla Model Y Long Range AWD,38910,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2020.0,Long Range AWD,1.99,Woodbridge,ON,10.0,509.0,SUV/ Crossover,67474,1062.0,1925.0
2019 Tesla Model 3 Performance AWD,27990,All-Wheel Drive,Black,Model 3,2019.0,Performance AWD,2.045,Concord,ON,10.0,499.0,Sedan,88966,1085.0,424.0
2020 Tesla Model Y Performance AWD,48888,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2020.0,Performance AWD,1.99,Abbotsford,BC,10.0,507.0,SUV/ Crossover,39721,1062.0,1925.0
2023 Tesla Model 3 Long Range AWD,41999,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,Long Range AWD,1.9,Saint-Constant,QC,11.5,576.0,Sedan,27064,1085.0,648.0
2024 Tesla Model 3,45682,unknown,Black,Model 3,2024.0,unknown,1.9,Abbotsford,BC,10.0,430.0,Sedan,30158,1085.0,424.0
2023 Tesla Model 3 RWD,36995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,RWD,1.9,Quebec,QC,10.4,438.0,Sedan,20928,1085.0,648.0
2021 Tesla Model 3 Standard Range Plus RWD,31480,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,33600,1085.0,424.0
